interface,received-bytes,received-packets,received-errs,received-drop,received-fifo,received-frame,received-compressed,received-multicast,sent-bytes,sent-packets,sent-errs,sent-drop,sent-fifo,sent-colls,sent-carrier,sent-compressed,device,app,app_details,is_record,is_wireless,repetition
wlan0,2035288184,1596677,0,0,0,0,0,1602,240496834,538949,0,141,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2184390,39235,0,0,0,0,0,26,119983666,79815,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2044429495,1605163,0,0,0,0,0,1610,243704529,545038,0,145,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2184418,39236,0,0,0,0,0,26,119983708,79816,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2054560875,1614178,0,0,0,0,0,1629,246456130,550469,0,145,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2184418,39236,0,0,0,0,0,26,119983708,79816,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2061358300,1620693,0,0,0,0,0,1638,249319356,555207,0,145,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2184418,39236,0,0,0,0,0,26,119983708,79816,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2072483790,1630874,0,0,0,0,0,1650,253019417,561852,0,148,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2184418,39236,0,0,0,0,0,26,119983708,79816,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2082736130,1640042,0,0,0,0,0,1676,256417011,568118,0,152,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2184418,39236,0,0,0,0,0,26,119983708,79816,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2092547458,1648876,0,0,0,0,0,1682,259686454,574202,0,154,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2187642,39298,0,0,0,0,0,26,120203333,79962,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2100720727,1656362,0,0,0,0,0,1696,262305589,579439,0,155,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2237874,40264,0,0,0,0,0,26,123143831,81905,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2116413023,1670941,0,0,0,0,0,1723,267149145,589199,0,159,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2237902,40265,0,0,0,0,0,26,123143873,81906,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2124756065,1678789,0,0,0,0,0,1731,269904481,594536,0,160,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2237902,40265,0,0,0,0,0,26,123143873,81906,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
